id,name,active,group_propagation_option,action,sequence,company_id/id,location_dest_id/id,location_src_id/id,route_id/id,procure_method,picking_type_id/id,delay,propagate_carrier,warehouse_id/id,propagate_warehouse_id/id,auto
stock_rule_mw_ek_stock_inter_warehouse_transit_mto_1271,MW-EK: Stock → Inter-warehouse transit (MTO),1,propagate,pull,20,seed_master_data_and_settings.company_jinasena_pvt_ltd,Jinasena_MasterData_Stock.stock_location_inter_warehouse_transit,,stock.route_warehouse0_mto,mts_else_mto,Jinasena_MasterData_Stock.stock_picking_type_delivery_orders_191,0,1,seed_master_data_and_settings.warehouse_mw_ek_c1,,manual
stock_rule_mw_ek_stock_inter_warehouse_transit_1272,MW-EK: Stock → Inter-warehouse transit,1,propagate,pull,20,seed_master_data_and_settings.company_jinasena_pvt_ltd,Jinasena_MasterData_Stock.stock_location_inter_warehouse_transit,,Jinasena_MasterData_Stock.stock_route_plastic_warehouse_pl_ek_supply_product_f,make_to_order,Jinasena_MasterData_Stock.stock_picking_type_delivery_orders_191,0,,seed_master_data_and_settings.warehouse_mw_ek_c1,,manual
stock_rule_pl_ek_inter_warehouse_transit_stock,PL-EK: Inter-warehouse transit → Stock,1,propagate,pull,20,seed_master_data_and_settings.company_jinasena_pvt_ltd,,Jinasena_MasterData_Stock.stock_location_inter_warehouse_transit,Jinasena_MasterData_Stock.stock_route_plastic_warehouse_pl_ek_supply_product_f,make_to_order,Jinasena_MasterData_Stock.stock_picking_type_receipts_788,0,,seed_master_data_and_settings.warehouse_pl_ek_c1,seed_master_data_and_settings.warehouse_mw_ek_c1,manual
stock_rule_pw_e1_stock_inter_warehouse_transit_mto_1275,PW-E1: Stock → Inter-warehouse transit (MTO),1,propagate,pull,20,seed_master_data_and_settings.company_jinasena_pvt_ltd,Jinasena_MasterData_Stock.stock_location_inter_warehouse_transit,,stock.route_warehouse0_mto,mts_else_mto,Jinasena_MasterData_Stock.stock_picking_type_delivery_orders_137,0,1,seed_master_data_and_settings.warehouse_pw_e1_c1,,manual
stock_rule_pw_e1_stock_inter_warehouse_transit_1276,PW-E1: Stock → Inter-warehouse transit,1,propagate,pull,20,seed_master_data_and_settings.company_jinasena_pvt_ltd,Jinasena_MasterData_Stock.stock_location_inter_warehouse_transit,,Jinasena_MasterData_Stock.stock_route_main_warehouse_mw_ek_supply_product_from,make_to_stock,Jinasena_MasterData_Stock.stock_picking_type_delivery_orders_137,0,,seed_master_data_and_settings.warehouse_pw_e1_c1,,manual
stock_rule_mw_ek_inter_warehouse_transit_stock,MW-EK: Inter-warehouse transit → Stock,1,propagate,pull,20,seed_master_data_and_settings.company_jinasena_pvt_ltd,,Jinasena_MasterData_Stock.stock_location_inter_warehouse_transit,Jinasena_MasterData_Stock.stock_route_main_warehouse_mw_ek_supply_product_from,make_to_order,Jinasena_MasterData_Stock.stock_picking_type_receipts_190,0,,seed_master_data_and_settings.warehouse_mw_ek_c1,seed_master_data_and_settings.warehouse_pw_e1_c1,manual
stock_rule_pw_ma_stock_inter_warehouse_transit_mto_1278,PW-MA: Stock → Inter-warehouse transit (MTO),1,propagate,pull,20,seed_master_data_and_settings.company_jinasena_pvt_ltd,Jinasena_MasterData_Stock.stock_location_inter_warehouse_transit,,stock.route_warehouse0_mto,mts_else_mto,Jinasena_MasterData_Stock.stock_picking_type_delivery_orders_777,0,1,seed_master_data_and_settings.warehouse_pw_ma_c1,,manual
stock_rule_pw_ma_stock_inter_warehouse_transit_1279,PW-MA: Stock → Inter-warehouse transit,1,propagate,pull,20,seed_master_data_and_settings.company_jinasena_pvt_ltd,Jinasena_MasterData_Stock.stock_location_inter_warehouse_transit,,Jinasena_MasterData_Stock.stock_route_raw_material_main_warehouse_rp_ek_supply,make_to_order,Jinasena_MasterData_Stock.stock_picking_type_delivery_orders_777,0,,seed_master_data_and_settings.warehouse_pw_ma_c1,,manual
stock_rule_rp_ek_inter_warehouse_transit_stock_1280,RP-EK: Inter-warehouse transit → Stock,1,propagate,pull,20,seed_master_data_and_settings.company_jinasena_pvt_ltd,,Jinasena_MasterData_Stock.stock_location_inter_warehouse_transit,Jinasena_MasterData_Stock.stock_route_raw_material_main_warehouse_rp_ek_supply,make_to_order,Jinasena_MasterData_Stock.stock_picking_type_receipts_145,0,,seed_master_data_and_settings.warehouse_rp_ek_c1,seed_master_data_and_settings.warehouse_pw_ma_c1,manual
stock_rule_copy_stock_customers,COPY: Stock → Customers,1,propagate,pull,20,seed_master_data_and_settings.company_jinasena_agricultural_machinery,stock.stock_location_customers,,,make_to_stock,Jinasena_MasterData_Stock.stock_picking_type_delivery_orders_1072,0,1,seed_master_data_and_settings.warehouse_rc_wm_c2,,manual
stock_rule_copy_input_output,COPY: Input → Output,1,propagate,pull,20,seed_master_data_and_settings.company_jinasena_agricultural_machinery,,,,make_to_order,Jinasena_MasterData_Stock.stock_picking_type_internal_transfers_1075,0,,seed_master_data_and_settings.warehouse_rc_wm_c2,,manual
stock_rule_copy_output_customers,COPY: Output → Customers,1,propagate,pull,20,seed_master_data_and_settings.company_jinasena_agricultural_machinery,stock.stock_location_customers,,,make_to_order,Jinasena_MasterData_Stock.stock_picking_type_delivery_orders_1072,0,,seed_master_data_and_settings.warehouse_rc_wm_c2,,manual
stock_rule_td_ho_stock_stock_mto,TD-HO: Stock → Stock (MTO),1,propagate,pull,20,seed_master_data_and_settings.company_jinasena_agricultural_machinery,,,stock.route_warehouse0_mto,mts_else_mto,Jinasena_MasterData_Stock.stock_picking_type_manufacturing_1094,0,,seed_master_data_and_settings.warehouse_td_ho_c2,,manual
stock_rule_jm_ek_stock_inter_warehouse_transit_mto_1507,JM-EK: Stock → Inter-warehouse transit (MTO),1,propagate,pull,20,seed_master_data_and_settings.company_jinasena_agricultural_machinery,Jinasena_MasterData_Stock.stock_location_inter_warehouse_transit_193,,stock.route_warehouse0_mto,mts_else_mto,Jinasena_MasterData_Stock.stock_picking_type_delivery_orders_753,0,1,seed_master_data_and_settings.warehouse_jm_ek_c2,,manual
stock_rule_jm_ek_stock_inter_warehouse_transit,JM-EK: Stock → Inter-warehouse transit,1,propagate,pull,20,seed_master_data_and_settings.company_jinasena_agricultural_machinery,Jinasena_MasterData_Stock.stock_location_inter_warehouse_transit_193,,Jinasena_MasterData_Stock.stock_route_repairs_warehouse_rp_jm_supply_product_f,make_to_stock,Jinasena_MasterData_Stock.stock_picking_type_delivery_orders_753,0,,seed_master_data_and_settings.warehouse_jm_ek_c2,,manual
stock_rule_rp_jm_inter_warehouse_transit_stock_1509,RP-JM: Inter-warehouse transit → Stock,1,propagate,pull,20,seed_master_data_and_settings.company_jinasena_agricultural_machinery,,Jinasena_MasterData_Stock.stock_location_inter_warehouse_transit_193,Jinasena_MasterData_Stock.stock_route_repairs_warehouse_rp_jm_supply_product_f,make_to_order,Jinasena_MasterData_Stock.stock_picking_type_receipts_509,0,,seed_master_data_and_settings.warehouse_rp_jm_c2,seed_master_data_and_settings.warehouse_jm_ek_c2,manual
stock_rule_br_ek_stock_inter_warehouse_transit_mto,BR-EK: Stock → Inter-warehouse transit (MTO),1,propagate,pull,20,seed_master_data_and_settings.company_jinasena_agricultural_machinery,Jinasena_MasterData_Stock.stock_location_inter_warehouse_transit_193,,stock.route_warehouse0_mto,mts_else_mto,Jinasena_MasterData_Stock.stock_picking_type_delivery_orders_522,0,1,seed_master_data_and_settings.warehouse_br_ek_c2,,manual
stock_rule_inter_warehouse_transit,Inter Warehouse Transit,1,propagate,push,21,seed_master_data_and_settings.company_jinasena_agricultural_machinery,,Jinasena_MasterData_Stock.stock_location_transit_666,Jinasena_MasterData_Stock.stock_route_inter_warehouse_transit,make_to_stock,Jinasena_MasterData_Stock.stock_picking_type_internal_transfers_501,0,,,,manual
