id,default_code,active,product_tmpl_id/id,barcode,combination_indices,volume,weight,base_unit_count,x_studio_item_approved_temp,x_studio_item_approved,x_studio_item_approval_request_sent,x_studio_item_approval_request_sent_temp
product_product_id_135582,33TR 15303,1,Jinasena_MasterData_Stock.product_template_roof_cover_332509,33TR 15303,,0.0,0.0,0.0,,,,
product_product_id_135583,33TR 15409,1,Jinasena_MasterData_Stock.product_template_brake_padle_arm,33TR 15409,,0.0,0.0,0.0,,,,
product_product_id_135584,33TR 15410,1,Jinasena_MasterData_Stock.product_template_brake_padle_plate,33TR 15410,,0.0,0.0,0.0,,,,
product_product_id_135585,33TR 15411,1,Jinasena_MasterData_Stock.product_template_paddle_axle,33TR 15411,,0.0,0.0,0.0,,,,
product_product_id_135586,33TR 15412,1,Jinasena_MasterData_Stock.product_template_axle_bush,33TR 15412,,0.0,0.0,0.0,,,,
product_product_id_135587,33TR 15413,1,Jinasena_MasterData_Stock.product_template_bush_bracket,33TR 15413,,0.0,0.0,0.0,,,,
product_product_id_135588,33TR 15414,1,Jinasena_MasterData_Stock.product_template_rod_connecting_plates,33TR 15414,,0.0,0.0,0.0,,,,
product_product_id_135589,33TR 15415,1,Jinasena_MasterData_Stock.product_template_pulling_rod,33TR 15415,,0.0,0.0,0.0,,,,
product_product_id_135590,33TR 15416,1,Jinasena_MasterData_Stock.product_template_turn_buckle_bush,33TR 15416,,0.0,0.0,0.0,,,,
product_product_id_135591,33TR 15417,1,Jinasena_MasterData_Stock.product_template_turn_buckle_arm,33TR 15417,,0.0,0.0,0.0,,,,
product_product_id_135592,33TR 15418,1,Jinasena_MasterData_Stock.product_template_turning_rod,33TR 15418,,0.0,0.0,0.0,,,,
product_product_id_135593,33TR 15419,1,Jinasena_MasterData_Stock.product_template_rod_holding_bushes,33TR 15419,,0.0,0.0,0.0,,,,
product_product_id_135594,33TR 15420,1,Jinasena_MasterData_Stock.product_template_rod_hangers_332521,33TR 15420,,0.0,0.0,0.0,,,,
product_product_id_135595,33TR 15421,1,Jinasena_MasterData_Stock.product_template_end_bush,33TR 15421,,0.0,0.0,0.0,,,,
product_product_id_135596,33TR 15601,1,Jinasena_MasterData_Stock.product_template_main_column,33TR 15601,,0.0,0.0,0.0,,,,
product_product_id_135597,33TR 15602,1,Jinasena_MasterData_Stock.product_template_sub_column,33TR 15602,,0.0,0.0,0.0,,,,
product_product_id_135598,33TR 15603,1,Jinasena_MasterData_Stock.product_template_arch_332525,33TR 15603,,0.0,0.0,0.0,,,,
product_product_id_135599,33TR 15604,1,Jinasena_MasterData_Stock.product_template_tie_bar_long,33TR 15604,,0.0,0.0,0.0,,,,
product_product_id_135600,33TR 15605,1,Jinasena_MasterData_Stock.product_template_long_strip_6_hp,33TR 15605,,0.0,0.0,0.0,,,,
product_product_id_135601,33TR 15606,1,Jinasena_MasterData_Stock.product_template_short_strip_6_hp,33TR 15606,,0.0,0.0,0.0,,,,
product_product_id_135602,33TR 15607,1,Jinasena_MasterData_Stock.product_template_tie_bar_short,33TR 15607,,0.0,0.0,0.0,,,,
product_product_id_135603,33TR 15608,1,Jinasena_MasterData_Stock.product_template_top_strips_332530,33TR 15608,,0.0,0.0,0.0,,,,
product_product_id_135604,33TR 15701,1,Jinasena_MasterData_Stock.product_template_side_railling_main_member,33TR 15701,,0.0,0.0,0.0,,,,
product_product_id_135605,33TR 15702,1,Jinasena_MasterData_Stock.product_template_side_rail_cross_design,33TR 15702,,0.0,0.0,0.0,,,,
product_product_id_135606,33TR 15703,1,Jinasena_MasterData_Stock.product_template_side_railling_vert_segment,33TR 15703,,0.0,0.0,0.0,,,,
product_product_id_135607,33TR 15704,1,Jinasena_MasterData_Stock.product_template_middle_horiz_segment,33TR 15704,,0.0,0.0,0.0,,,,
